row_id,word_count,sha256_hash,volume,book,set
0,271,b3edc7239c2fc2159302cb801710968225e81a38a282fed679048dc17b738987,II,9,dev
1,118,978a8f1c0b26766189d2328a49884b01a4eb629c1ec7b2d3f9e63d0b5f9b3aea,II,9,test
2,54,c6727f9b0ac1342f164259ee33b2c1d7cdb0bbf41394c05edca8b591fa1d8ce4,II,9,test
3,75,1e0f2d013e14ce9f94a1574ddec0cf6433fbddd361557834b0dc50c4acb0f2d2,II,9,test
4,65,3ba9c0fef70c4443e2195d4db6282cdb4858ca94a6a6ef8ffb851b4bb871dac9,II,9,test
5,61,422cf82c4f84beab322710fd3dead66e1f3d90b3e0028b8e96a9d1ea5018e768,II,9,test
6,72,be7de7cc189232df70e3006699a3504f11d439c619a76437f5884e9b854bb99e,II,9,test
7,59,5a169db466158ffb488398628c6b12d27fbbe665431f375f06d76933dc4dde3e,II,9,test
8,110,9a4ae8c6788b69149a358c4c0031c648e81f0a61429caef95f3fa0480e8c8aac,II,9,dev
9,61,ac0587a0e1653341f9c587f3af704b7fc9488a6472df454b67ab378f338f1a48,II,9,test
10,145,174d776eab724ee441d3702ffe517b1b279206c3f041fd10c383741bb6bb75d7,II,9,test
11,65,9bcc4ad498d0120c02a15a9454f86a4a272c7bba15357529a45af30b9a4d2bb2,II,9,dev
12,51,07076c56bed5e8a84eeab5d10da4dea9aa7692e6ecfc00102b0a946c4d1047cb,II,9,test
13,468,ac36f240d51482b7d1193fadf7b2b7d35b40639f242fee88c55d74b6dab902ec,II,9,test
14,96,1e726b8f303c718c7f27d92400bdde5fc986b3039c4cfa896215cd933873434d,II,9,test
15,54,5c6028d5f53620fccd58cfc58d234f1b1451e47a3bb649af2b8b6ed2c74e82c9,II,9,test
16,103,31cc4693d42c0d34c35bd1b97fc285fc312373e2b619a31508e0ebfec7f980d0,II,9,test
17,108,6698bdb4009e3c4fbceeabcab68caef53b8bdf02320ced820878a22cccefaab6,II,9,test
18,72,2e50f6903d6ad1f6dd957d33d72c0384a5f56cd19afe5709c069cd3af6f43a12,II,9,test
19,46,cfc10e79d71b5cb4a0a8803dbccf8e0d6b4bea88668f259ef4d20888f08ee6e7,II,9,test
20,39,95109b47f69160967d8798b11d05d1a81a5bdcfa0ce800560944ad9194b96fcb,II,9,dev
21,44,1e5b68769663fcb1461c510e49de08585bce18d871ed4444f41f718df743f3d0,II,9,test
22,41,b48907750039d29743370dbc11611532c207b0a79a615ac07850bfd283b7c2b1,II,9,dev
23,32,a683c3de1959a1df929dd514955dd4c3967a439da1c0cd609adc08356a364674,II,9,test
24,65,4ba8d8c7f007b2e851063af8f689c00ca116682458d0c3fcc587ad5fb11210ab,II,9,test
25,39,691a7d749e603aec7873d7671a8a7fb01d638a7cd9a67c5532e95b5c9dfd36b8,II,9,test
26,39,2efbec2ab77432f9e5a339720b7084cc326855aff57a832c9acb7cbf2fe49c79,II,9,test
27,25,b7d25d947199e357cb6af6e5be66d0ed95c14871ce8ae3ae142ee7a7f8a1fc02,II,9,test
28,48,48bc98b66b5a8814269364ae51a3454437edc975733a67c6a46d6d9fe25f18e1,II,9,test
29,82,22109ccc934cb7b062259b788db3c9df2e5a2fb887ede9a51145894430aae3a9,II,9,test
30,29,5969685023ad97c4db6492e0504bb1934ad17a449ab8277661a010a55fe065ea,II,9,dev
31,37,b72d3748c88a423c377c721647bb578838a9eff4a59d063b7e5293bda4c08c0d,II,9,dev
32,54,8ef0a431e325db062c1f0f48a939223b9a42318453257a2120c948372a4f18ee,II,9,dev
33,47,b84e66bf164989224e6f38d2b1b3ff3a7b72dbbe8dd0c609e01bfc69404b7294,II,9,test
34,63,b44a19ee4e182a4e4fff59de9cc23dc10e50f7d777ff4e1affd741eb9adc8595,II,9,test
35,83,2959c4fd7fe4acee78aaaaeeea8f6f3888ffb38410f91efe7eb106df3130830e,II,9,dev
36,65,1d59d18cfd83e1f102418acccd7365ae3a3cc281f79f0f7b3ab6a8b2d0407aa3,II,9,dev
37,71,b8662a098073c44052c507b8f2964e36f0ea759a663a91971cc0efdac89a228f,II,9,test
38,70,fa12650d72efd6e4330fd8217fec7635df8ced99cfc74c64bbc02848c351837c,II,9,test
39,66,af866685e3861e7caac4dda4473434ecf4d68341c749f4a46c98bc25bd752c67,II,9,test
40,73,561fabeacb4b9f3ebf96463ef696920e8a5f268a0d94506751ae108d6c47e00e,II,9,test
41,33,8be627f7df6707e72bd731189c90bbf4466f370bf8e81788841ab7c43f0f2e16,II,9,test
42,41,6f345ee2e6777e7aa77a6b4f4eb5576840920adb835e343d980fd7a3f692f6f8,II,9,dev
43,84,bc0236f93ee74dd2ef0aa008ba878d94617bff97fa66c97bd7fed2aa8cce7596,II,9,test
44,42,4ce78d7019119b008f6586478a322467a954fe18bb071ab7250a874bf0593942,II,9,test
45,46,3f7da6fab9008ba4d516a1aa6bc97497adec2b4ebf9b13906b99a67eb4d32c94,II,9,test
46,62,e0ab0d5f5a037b2b5594bd818948c515be0ce1d3451fa6e11885fe3ad7ec222e,II,9,test
47,66,d0748c72187bf6a4b566896207ceb5fa2633d83e18f36af85fb226e6564ee648,II,9,dev
48,45,231c4305129372ecbbaae879938bb0e1b56286f20d12ded12e971ee82cf4c3e8,II,9,test
49,41,e39cb7e7c152abdaf3b96cb2056d055ef7b6f37a8e8e47c03c514af8c4ece6ab,II,9,dev
50,71,48f0e14441169e5afa3f8a6b2529c7f0f7758bc802f45129b210c103c1acbfd2,II,9,test
51,63,454c5bd2f60b7bee8bc2d2228e8514665fdb03a910a26d12c374fa238b50e0d1,II,9,dev
52,277,65b3aae66651b5266e5ad9e5638f275db6964ec0805cdc174667dd92ca532c8d,II,9,test
53,47,2bb0708ffd66126975c67fa241fa927bbdce1dd09f18309d8a750cc2e6a8229c,II,9,test
54,41,ca0d3cbfe2c88d5f3abcf243b51a7aad2f8fb9e7a62ac4c6da29addd8e9b78ec,II,9,dev
55,76,1cd78674aa953e4f92883b84a3df945e11e47a0d0cc33deb198bd8fa3e44db4d,II,9,dev
56,121,26f1725d7c59aac3c37d7f7325f1d5fb8484ed8ab962b45155c134ebc2499464,II,9,test
57,41,9f194c19f09c255f7055f1598c3a1dd49cc4447d6710f1e9d3ada5e6dd704f50,II,9,test
58,40,50b2ea41a40b324ed6bef361d4576e5df9814592db5fdf4dab0958a2096e8a9c,II,9,test
59,55,284819aa846889ee94fd79029e14f46ef2566c795b281295d45164c35231abd5,II,9,test
60,44,24febf1f9cfa6f01d4555a902a7b7eb626bcd17a928549cc5fabf47cb5ae2da1,II,9,test
61,31,5da0a180f4411799953f89e5a2921fc2affc123e4ecab67defccc9c9d2b4f966,II,9,dev
62,70,f5fa7b20057a9a21c57fb5f4c452c3254f0b91141d8485158ee7657cf153df00,II,9,test
63,39,8ed24ef6312045694a42b160a4e23e3e539b580a9d80ec0228519f22913fe83b,II,9,test
64,47,3e6b42c1f5593393e39bc82d9fe2c522b3d4d7e903b4fa603fb217570a5bff42,II,9,test
65,29,5bd8c9473f2ecb42d33648e8638e4f29ea6ef8bf0397438c3cfaaf58c07fea62,II,9,dev
66,51,f14ae6ba9e8ffd1e3ffcc6eae9696e1fc52a3f5ae3806b82838ba3e66ae8bfca,II,9,test
67,46,827931570ec7b59dfab7c67244b8004d25db211326fd2ca335608e0e7caf7651,II,9,test
68,53,5e4c1cb0dcf1c95712711c3710244e0424e1c2e29162ab8637f2bf8b3d180aca,II,9,test
69,56,d454fecfdbce4594197c98ff19f80bd40bf8d9a369b86d9a7fbc04e9ec3a44c0,II,9,dev
70,39,24f7134dffc7d85184cb796af091d2645d8820c9f9277803338442b976dcc693,II,9,test
71,53,d05e78fbd1c84b73d07fe96652bab006f197cecac9b9d6e88b4eea3338eda615,II,9,test
72,29,c6a49cddeb1ed890d9225678f83d755de01064fe452b5fd2e655233194fe2b24,II,9,test
73,38,3e196ad628a11dbe04f5538eb3edfe223364a3987bf8b973418c2a8d493b743c,II,9,dev
